molecule_chembl_id,smiles,matched_to_active,tanimoto_similarity
CHEMBL7120,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1COc1cccc(/C(I)=C/Cn2oc(=O)[nH]c2=O)c1,CHEMBL4867851,0.107
CHEMBL9295,CCCNC(=O)c1ccc(OP(=O)(Oc2ccc(C(=O)NCCC)cc2)C2CCCN2C(=O)C2CCCN2)cc1.Cl,CHEMBL4867851,0.119
CHEMBL267730,CCCCN(CCCC)c1c(N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c(=O)c1=O,CHEMBL4867851,0.071
CHEMBL9527,Cl.O=C(C1CCCN1)N1CCCC1P(=O)(Oc1ccc(NN2CCCC2)cc1)Oc1ccc(NN2CCCC2)cc1,CHEMBL4867851,0.113
CHEMBL10847,COc1ccc(C(=O)/C(Cc2ccc(OC)c(OC)c2OC)=C(\C(=O)[O-])c2cc(OC)c3c(c2)OCO3)cc1C.[Na+],CHEMBL4867851,0.072
CHEMBL11025,O=C1c2cccc3c2c(cc2occc23)C(=O)N1CCNCCCNCCN1C(=O)c2cccc3c2c(cc2occc23)C1=O,CHEMBL4867851,0.082
CHEMBL10862,COc1ccc(C(=O)/C(Cc2ccc(OC)c(OC)c2OC)=C(\C(=O)[O-])c2cc(OC)c3c(c2)OCO3)cc1.[Na+],CHEMBL4867851,0.064
CHEMBL416705,COc1ccc(-c2nc(SCCCOCCN(CCOCCO)C(=O)NC(C)C)[nH]c2-c2ccc(OC)cc2)cc1,CHEMBL4867851,0.113
CHEMBL11246,CC(C)C(NC(=O)Cn1c(-c2ccc(Cl)cc2)ncc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F,CHEMBL4867851,0.118
CHEMBL273981,CC(C)C(NC(=O)Cn1c(-c2ccc(C(F)(F)F)cc2)ncc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F,CHEMBL4867851,0.109
CHEMBL100682,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3ccc([N+](=O)[O-])cc3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC(C)=O,CHEMBL5772356,0.069
CHEMBL102492,O=C(CN(Cc1ccc(OCc2ccccc2)cc1)C(=O)[C@H](Cc1c[nH]cn1)NC(=O)OCc1ccccc1)NCCOCc1ccccc1,CHEMBL5865092,0.119
CHEMBL282371,COC(=O)c1c(C(=O)N2CCN(CCO)CC2)cc2cc(OC)c(OC)cc2c1-c1cc(OC)c(OC)cc1C,CHEMBL6022871,0.132
